
WARN   | wrapper  | 2012/08/17 04:33:55 | JVM exited unexpectedly while stopping the application.
STATUS | wrapper  | 2012/08/17 04:33:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:34:47 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:34:47 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:34:47 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:34:47 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:34:47 | 
STATUS | wrapper  | 2012/08/17 04:34:48 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:34:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:34:48 | DemoApp: Initializing...
INFO   | jvm 1    | 2012/08/17 04:34:48 | Demo: start()
INFO   | jvm 1    | 2012/08/17 04:34:48 | Demo: Showing dialog...
STATUS | wrapper  | 2012/08/17 04:34:49 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:34:49 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:34:49 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:34:49 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:34:49 | 
STATUS | wrapper  | 2012/08/17 04:34:49 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:34:49 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:34:49 | DemoApp: Initializing...
INFO   | jvm 1    | 2012/08/17 04:34:49 | Started and waiting for a command from the Demo Application
INFO   | jvm 1    | 2012/08/17 04:34:53 | Read action: finish
INFO   | jvm 1    | 2012/08/17 04:34:54 | Demo: stop(0)
INFO   | jvm 1    | 2012/08/17 04:34:54 | Demo: stop(0)
STATUS | wrapper  | 2012/08/17 04:34:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:34:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:39:02 | --> Wrapper Started as Console
